Sector,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Agriculture,MtCO2e,5159.21,5139.69,5121.81,5090.30,5134.86,5187.05,5216.01,5141.74,5195.94,5253.44,5249.69,5253.46,5311.22,5307.07,5415.86,5453.82,5513.44,5590.72,5599.88,5597.13,5653.96,5782.96,5805.02,5749.17,5802.99,5824.98,5861.97,5945.48,5923.69,5914.63,6041.13,6093.05,6109.93,6241.41
Industrial Processes,MtCO2e,1083.96,1090.16,1102.56,1110.32,1163.12,1239.44,1275.00,1315.60,1302.51,1305.02,1348.57,1371.72,1430.39,1527.90,1628.36,1740.15,1865.51,1997.37,2037.53,2082.55,2223.17,2361.26,2446.13,2557.34,2651.43,2611.08,2706.09,2807.92,2911.86,3018.02,3084.49,3187.88,3155.35,3155.57
"Land Use, Land-Use Change and Forestry",MtCO2e,2312.10,2312.10,2312.10,2312.54,2312.21,2317.81,2123.84,3123.19,2435.33,2237.06,2081.65,184.84,714.77,401.73,780.18,493.30,864.10,324.88,268.57,671.28,347.69,-168.35,-135.83,-188.79,168.06,203.32,27.94,-18.02,149.85,431.21,19.92,248.60,202.49,466.73
Waste,MtCO2e,1343.22,1369.08,1439.25,1506.61,1575.39,1583.45,1587.82,1584.99,1578.57,1578.79,1583.55,1562.53,1566.42,1568.96,1561.36,1558.48,1574.30,1586.10,1601.17,1613.14,1630.19,1614.86,1636.22,1654.80,1702.62,1737.69,1763.36,1794.33,1823.17,1849.51,1869.16,1887.22,1900.36,1948.85
Building,MtCO2e,3232.64,3262.67,3155.61,3226.14,3141.45,3222.36,3288.41,3274.13,3119.61,3192.51,3173.19,3192.34,3198.29,3285.08,3327.64,3328.15,3300.15,3284.72,3347.58,3293.20,3346.28,3286.23,3223.07,3333.63,3281.25,3301.02,3328.49,3399.11,3427.30,3379.33,3328.35,3368.71,3290.65,3201.99
Electricity/Heat,MtCO2e,8649.79,8792.61,8949.72,9000.06,9101.43,9292.40,9658.58,9932.00,10158.50,10220.50,10617.10,10881.40,11066.50,11685.30,12069.90,12443.60,12946.20,13509.40,13538.70,13324.10,14238.70,14860.00,15157.70,15459.10,15389.20,15125.80,15144.70,15500.40,15915.00,15834.00,15361.60,16499.90,16708.10,17064.40
Fugitive Emissions,MtCO2e,2618.15,2618.02,2551.90,2558.47,2559.29,2634.52,2698.02,2708.64,2687.90,2669.22,2787.35,2807.27,2775.20,2960.56,3051.98,3187.59,3221.89,3266.63,3284.50,3231.60,3342.79,3453.47,3470.74,3485.78,3515.60,3456.80,3379.23,3386.79,3471.89,3532.97,3260.95,3318.58,3349.89,3431.77
Manufacturing/Construction,MtCO2e,3967.89,3891.87,3760.00,3706.37,3721.82,3944.93,3827.50,3852.18,3849.95,3694.60,3847.43,3866.19,3873.08,4063.86,4490.99,4907.94,5144.03,5429.30,5531.57,5517.42,6028.31,6252.78,6293.85,6330.70,6390.76,6268.20,6118.50,6044.89,6121.23,6126.04,6028.18,6162.45,6147.52,6204.73
Other Fuel Combustion,MtCO2e,771.46,772.17,687.58,699.68,669.83,621.12,548.13,596.81,573.27,582.43,524.23,536.44,538.34,557.93,593.03,618.54,628.44,630.57,651.95,612.82,625.45,620.85,631.91,645.45,641.06,640.02,638.08,642.85,627.61,603.01,585.50,580.25,606.10,604.13
Transportation,MtCO2e,4726.28,4764.57,4872.52,4915.56,5013.54,5150.94,5360.88,5438.93,5565.35,5729.79,5911.51,5941.91,6097.62,6225.56,6513.60,6658.20,6813.64,7027.12,7033.08,6892.39,7187.76,7307.55,7355.68,7547.31,7673.14,7913.99,8079.22,8274.22,8481.47,8561.49,7422.92,8006.36,8304.93,8483.36
Data source,Climate Watch
Data for,Location: World. Sectors/Subsectors: Agriculture, Industrial Processes, Land Use, Land-Use Change and Forestry, Waste, Building, Electricity/Heat, Fugitive Emissions, Manufacturing/Construction, Other Fuel Combustion, Transportation. Gases: All GHG. Calculation: Total. Show data by Sectors
