Entity,Year,Greenhouse gas emissions per 100g protein
Apples,2010,14.333333
Bananas,2010,9.555555
Beef (beef herd),2010,49.889668
Beef (dairy herd),2010,16.8693
Berries & Grapes,2010,15.3
Brassicas,2010,4.6363635
Cassava,2010,14.666667
Cheese,2010,10.815217
Citrus Fruit,2010,6.5
Coffee,2010,35.6625
Dark Chocolate,2010,93.3
Eggs,2010,4.208724
Fish (farmed),2010,5.9767594
Grains,2010,2.7
Groundnuts,2010,1.2337662
Lamb & Mutton,2010,19.850075
Maize,2010,1.7894737
Milk,2010,9.5
Nuts,2010,0.26331905
Oatmeal,2010,1.9076923
Onions & Leeks,2010,3.8461537
Other Pulses,2010,0.8360579
Peas,2010,0.4410441
Pig Meat,2010,7.608158
Potatoes,2010,2.7058823
Poultry Meat,2010,5.698614
Prawns (farmed),2010,18.192282
Rice,2010,6.267606
Root Vegetables,2010,4.3
Tofu,2010,1.975
Tomatoes,2010,19
Wheat & Rye,2010,1.2868853
